Data,Nome,Tipo,Municipio,AfetaPrazo,Fonte,Observacao
01/01/2026,Confraternizacao Universal,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
17/02/2026,Terca-feira de Carnaval,Feriado estadual RJ,TODOS,Sim,ALERJ / legislacao estadual RJ,Feriado estadual no RJ; somente a terca-feira
03/04/2026,Paixao de Cristo,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado movel em 2026
21/04/2026,Tiradentes,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
23/04/2026,Dia de Sao Jorge,Feriado estadual RJ,TODOS,Sim,ALERJ / legislacao estadual RJ,Feriado estadual no RJ
01/05/2026,Dia Mundial do Trabalho,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
07/09/2026,Independencia do Brasil,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
12/10/2026,Nossa Senhora Aparecida,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
02/11/2026,Finados,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
15/11/2026,Proclamacao da Republica,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
20/11/2026,Dia Nacional de Zumbi e da Consciencia Negra,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
25/12/2026,Natal,Feriado nacional,TODOS,Sim,Gov.br / MGI,Feriado nacional fixo
20/01/2026,Sao Sebastiao,Feriado municipal,Rio de Janeiro,Sim,Prefeitura do Rio / legislacao municipal,Feriado municipal da cidade do Rio de Janeiro
24/06/2026,Sao Joao,Feriado municipal,Niteroi,Sim,Prefeitura ou Camara de Niteroi,Confirmar fonte local antes de usar fora da Reitoria
13/06/2026,Santo Antonio,Feriado municipal,Duque de Caxias,Sim,Prefeitura ou Camara de Duque de Caxias,Em 2026 cai em sabado; mantido para modelo de campus
